"ID","PubID","Journal","Outcome","Notes","strain","sex","age","control_mean","control_sd","control_n","test_mean","test_sd","test_n","total_days","total_time_h","water_depriv_h","food_depriv_h"
5109,"Du 2023","Neuroreport","FST",NA,"SD","M","5-6",41,4.9,"6",51,12.25,"6",28,168,NA,NA
5214,"Afzal 2021","Neurochem Res","FST","FST design unclear: ""Rats were allowed to swim for 5 min followed by a pre-test of 2 min. Immobility time was observed during testing duration of the experiment.""","Wistar","M",NA,245,27.71,"12",278,20.78,"12",14,56,NA,NA
5216,"Ahmed 2023","Food Funct","FST",NA,"Wistar","M","7-8",93,3,"10",158,4,"10",35,105,NA,NA
5240,"Khedr 2018","Naunyn Schmiedebergs Arch Pharmacol","FST",NA,"Wistar","M",NA,51.4,9.39,"10",83.3,24.21,"10",42,168,NA,NA
5329,"Duarte 2024","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","FST",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,10,20,NA,NA
5365,"Magdy 2017","Biomed Pharmacother","FST",NA,"Wistar","M",NA,52,10.39,"12",83,24.25,"12",42,168,NA,NA
5419,"Aliphon 2023","Psychopharmacology (Berl)","FST",NA,"SD","M","8",NA,NA,NA,NA,NA,NA,14,35,NA,NA
5419,"Aliphon 2023","Psychopharmacology (Berl)","FST",NA,"SD","F","8",NA,NA,NA,NA,NA,NA,14,35,NA,NA
5437,"Sarawi 2025","Sci Rep","FST","""All rat groups, except the controls, underwent restraining stress for around 5 weeks""","SD","M","6-7",5.6,3.18,"6",18,5.88,"6",35,87,NA,NA
5446,"Peng 2022","JOURNAL OF NEUROINFLAMMATION","FST",NA,"Wistar","M","6-8",50,21,"15",132,28,"15",28,168,NA,NA
5610,"Mostardeiro 2025","Brain Sciences","FST",NA,"Wistar","M",NA,151,31.11,"8",218,25.46,"8",14,112,NA,NA
5623,"Zhi 2023","Behav Brain Res","FST",NA,"SD","M","6",19,12.25,"6",18,9.8,"6",21,126,NA,NA
5627,"Feng 2019","FRONTIERS IN MOLECULAR NEUROSCIENCE","FST",NA,"Wistar","M","8",96,38.11,"12",281,83.14,"12",21,126,NA,NA
5687,"Zhou 2022","FRONTIERS IN AGING NEUROSCIENCE","FST","All rats were ovariectomised; CRS was ""7.5–8h/day""","SD","F","12",NA,NA,NA,NA,NA,NA,21,157,NA,NA
5699,"Wei 2018","Neurosci Lett","FST",NA,"Wistar","M",NA,56,12,"8",136,30,"8",35,210,NA,NA
5748,"Sakhri 2021","PHYTOTHERAPY RESEARCH","FST",NA,"Wistar","M",NA,50,15.65,"5",154,22.36,"5",21,126,NA,NA
5898,"Aboul-Fotouh 2018","Asian Journal of Pharmaceutical and Clinical Research","FST",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,42,168,NA,NA
5993,"Ruanpang 2025","Vet World","FST",NA,"Wistar","M","7",59,44.27,"10",146,88.54,"10",7,21,NA,NA
5993,"Ruanpang 2025","Vet World","FST",NA,"Wistar","M","7",59,44.27,"10",140,75.89,"10",14,42,NA,NA
5993,"Ruanpang 2025","Vet World","FST",NA,"Wistar","M","7",59,44.27,"10",193,82.22,"10",28,84,NA,NA
6013,"Suwanjang 2021","Neurochem Int","FST",NA,"SD","M",NA,43,26.94,"6",99,9.8,"6",21,126,NA,NA
6184,"Li 2022","Mol Neurobiol","FST",NA,"SD","M",NA,50,4,"5",68,5,"5",28,112,NA,NA
6233,"Gao 2024","Translational Psychiatry","FST",NA,"Wistar","M","6",NA,NA,NA,NA,NA,NA,21,126,NA,NA
6233,"Gao 2024","Translational Psychiatry","FST",NA,"Wistar","F","6",NA,NA,NA,NA,NA,NA,21,126,NA,NA
6269,"Koncz 2023","Int J Neuropsychopharmacol","FST","Method taken from cited article","Wistar","M","7",147,87,"9",234,27,"9",10,20,NA,NA
6305,"Lee 2015","Front Neurosci","FST","Data expressed as 'mean behavioural count'","SD","M","8",23,3.16,"10",31,3.16,"10",21,42,NA,NA
6987,"Peng 2021","Neurochem Int","FST",NA,"SD","M","12",14,4.92,"5",21,5.39,"6",21,136,NA,NA
6998,"Wong 2017","Molecular Psychiatry","FST",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,84,NA,NA
7021,"Wu 2025","JOURNAL OF MOLECULAR HISTOLOGY","FST",NA,"Wistar","F","6-8",NA,NA,NA,NA,NA,NA,14,70,NA,NA
7023,"Liu 2016","Behav Brain Res","FST",NA,"SD","M",NA,96,8.49,"8",115,16.97,"8",21,126,NA,NA
7286,"Adachi 2021","J Tradit Complement Med","FST",NA,"Wistar","M","7",56,29,"5",162,25,"5",21,126,NA,NA
7339,"Vorvul 2022","NEUROPEPTIDES","FST",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,14,28,NA,NA
7440,"Li 2023","Behav Brain Res","FST","Data shown as violin plot","SD","M","7-8",NA,NA,NA,NA,NA,NA,35,140,NA,NA
7592,"Zhu 2021","Evid Based Complement Alternat Med","FST",NA,"SD","M",NA,106,1.6,"8",208,2.2,"8",21,63,NA,NA
7660,"Yu 2024","BEHAVIOURAL BRAIN RESEARCH","FST","""Male Sprague-Dawley rats (8–12 weeks old, 250–300 g) and male Long-Evans rats (350–400 g) .... All rats were randomly assigned to one of the following four models""","Unclear","Unclear","Unclear",131,4,"8",117,24,"8",21,126,NA,NA
7715,"García-Rojo 2017","Int J Neuropsychopharmacol","FST",NA,"SD","M",NA,111,15.87,"7",172,7.94,"7",14,35,NA,NA
8156,"Seo 2019","NEUROSCIENCE LETTERS","FST",NA,"SD","M",NA,80,31.84,"6",134,19.6,"6",28,168,NA,NA
8158,"Wisłowska-Stanek 2016","Behav Brain Res","FST","Data from 'high anxiety' rats","Wistar","M",NA,269,5.66,"8",286,2.83,"8",35,105,NA,NA
8159,"Habib 2015","PLoS One","FST",NA,"Wistar","M",NA,53,4.5,"9",76,6.9,"9",42,168,NA,NA
8451,"Chen 2025","PHARMACOLOGICAL RESEARCH","FST",NA,"SD","M",NA,53,14,"7",101,13,"12",14,112,NA,NA
8463,"Ratajczak 2020","ACTA NEUROBIOLOGIAE EXPERIMENTALIS","FST",NA,"SD","M","12",131,34.29,"24",173,58.79,"24",14,28,NA,NA
8548,"Kuan 2024","JOURNAL OF PHYSIOLOGICAL INVESTIGATION","FST",NA,"Long-Evans","M",NA,4.6,2.42,"12",7.1,2.42,"12",14,28,NA,NA
8614,"Zanca 2015","FRONTIERS IN BEHAVIORAL NEUROSCIENCE","FST","Data from 'standard housed' group","SD","M","12",NA,NA,NA,NA,NA,NA,7,42,NA,NA
8637,"Wang 2025","BEHAVIOURAL BRAIN RESEARCH","FST","Pregnant females restrained from GD14-21","SD","F (pregnant)","8",21,5,"8",35,9,"16",7,15,NA,NA
8743,"Seewoo 2020","eNeuro","FST",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,13,32,NA,NA
8767,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","FST",NA,"Wistar","M",NA,61,19.8,"8",152,19.8,"8",42,168,NA,NA
8885,"Li 2021","J Proteomics","FST",NA,"Wistar","M",NA,102,7.07,"8",114,7.64,"8",28,168,NA,NA
8955,"Castañeda 2015","J Neurosci Res","FST",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,7,17,NA,NA
8955,"Castañeda 2015","J Neurosci Res","FST",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,35,NA,NA
8964,"Phachonpai 2024","Journal of Applied Pharmaceutical Science","FST",NA,"SD","M",NA,18,6.96,"10",32,3.79,"10",14,84,NA,NA
8964,"Phachonpai 2024","Journal of Applied Pharmaceutical Science","FST",NA,"SD","M",NA,18,6.96,"10",30,6.96,"10",28,168,NA,NA
8964,"Phachonpai 2024","Journal of Applied Pharmaceutical Science","FST",NA,"SD","M",NA,18,6.96,"10",28,4.74,"10",42,252,NA,NA
8964,"Phachonpai 2024","Journal of Applied Pharmaceutical Science","FST",NA,"SD","M",NA,18,6.96,"10",30,6.64,"10",56,336,NA,NA
8989,"Arab 2023","Pharmaceuticals","FST",NA,"Wistar","M",NA,1.4,0.37,"6",3.4,0.28,"6",21,126,NA,NA
9029,"Mehta-Raghavan 2016","Transl Psychiatry","FST","Data expressed as number of 5-sec bins","Wistar Kyoto More Immobile ","M","""adult""",25,15.81,"10",17,9.49,"10",14,28,NA,NA
9029,"Mehta-Raghavan 2016","Transl Psychiatry","FST","Data expressed as number of 5-sec bins","Wistar Kyoto Less Immobile ","M","""adult""",2.5,1.58,"10",7,3.79,"10",14,28,NA,NA
9120,"Bortolasci 2023","Bipolar Disorders","FST",NA,"Flinders Sensitive Line","M","6",NA,NA,NA,NA,NA,NA,10,5,NA,NA
9424,"Alemu 2019","Brain Behav","FST",NA,"Wistar","M","7-8",NA,NA,NA,NA,NA,NA,21,126,NA,NA
9442,"Meng 2021","Pain Physician","FST",NA,"SD","M",NA,136,37,"10",166,23,"10",21,126,NA,NA
9542,"Saeidi 2025","NEUROCHEMICAL RESEARCH","FST",NA,"Wistar","M","8-10",92,10.58,"7",191,7.94,"7",15,90,NA,NA
9542,"Saeidi 2025","NEUROCHEMICAL RESEARCH","FST",NA,"Wistar","M","8-10",NA,NA,NA,NA,NA,NA,30,180,NA,NA
9582,"Ishola 2016","BIOMEDICINE & PHARMACOTHERAPY","FST",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,4,NA,NA
9638,"Zhang 2021","Journal of Hazardous Materials","FST","CRS protocol used was from a mouse study: https://doi.org/10.1080/15548627.2019.1630222 ","Wistar","M","6",100,31.11,"8",252,31.11,"8",21,126,NA,NA
