"ID","PubID","Journal","Outcome","Notes","strain","sex","age","control_mean","control_sd","control_n","test_mean","test_sd","test_n","total_days","total_time_h","water_depriv_h","food_depriv_h"
8451,"Chen 2025","PHARMACOLOGICAL RESEARCH","SPT",NA,"SD","M",NA,86,11,"7",51,10,"12",14,112,NA,NA
8548,"Kuan 2024","JOURNAL OF PHYSIOLOGICAL INVESTIGATION","SPT",NA,"Long-Evans","M",NA,NA,NA,NA,NA,NA,NA,14,28,NA,NA
8637,"Wang 2025","BEHAVIOURAL BRAIN RESEARCH","SPT","Pregnant females restrained from GD14-21","SD","F (pregnant)","8",91,19.8,"8",74,38.18,"18",7,15,24,24
8767,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","SPT",NA,"Wistar","M",NA,84,5.66,"8",74,8.49,"8",7,28,0,0
8767,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","SPT",NA,"Wistar","M",NA,84,5.66,"8",67,5.66,"8",14,56,0,0
8767,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","SPT",NA,"Wistar","M",NA,84,5.66,"8",61,8.49,"8",21,84,0,0
8767,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","SPT",NA,"Wistar","M",NA,84,5.66,"8",59,5.66,"8",28,112,0,0
8767,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","SPT",NA,"Wistar","M",NA,84,5.66,"8",58,11.31,"8",35,140,0,0
8767,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","SPT",NA,"Wistar","M",NA,84,5.66,"8",51,11.31,"8",42,168,0,0
8885,"Li 2021","J Proteomics","SPT",NA,"Wistar","M",NA,81,7.64,"8",71,5.09,"8",28,168,23,23
8955,"Castañeda 2015","J Neurosci Res","SPT",NA,"SD","M",NA,90,14.14,"8",48,18.38,"8",7,17,1,1
8955,"Castañeda 2015","J Neurosci Res","SPT",NA,"SD","M",NA,90,14.14,"8",59,11.31,"8",14,35,1,1
8977,"Lei 2020","FRONTIERS IN NEUROSCIENCE","SPT","Pregnant females restrained from GD12-18","SD","F (pregnant)","not given",NA,NA,NA,NA,NA,NA,7,15,NA,NA
8989,"Arab 2023","Pharmaceuticals","SPT",NA,"Wistar","M",NA,84,8,"6",41,9,"6",21,126,NA,NA
9120,"Bortolasci 2023","Bipolar Disorders","SPT",NA,"Flinders Sensitive Line","M","6",NA,NA,NA,NA,NA,NA,10,5,NA,NA
9208,"Shen 2024","PLoS One","SPT","Limited SPT data provided","SD","M",NA,96,NA,"6",70,NA,"6",28,224,24,24
9234,"Lyu 2022","Psychopharmacology (Berl)","SPT",NA,"Wistar-Kyoto","M","8",86,2.83,"8",88,2.83,"8",28,168,0,0
9442,"Meng 2021","Pain Physician","SPT",NA,"SD","M",NA,83,3.6,"10",68,10,"10",21,126,24,NA
9638,"Zhang 2021","Journal of Hazardous Materials","SPT","CRS protocol used was from a mouse study: https://doi.org/10.1080/15548627.2019.1630222 ","Wistar","M","6",81,14.14,"8",63,11.31,"8",21,126,NA,NA
9643,"Pan 2019","MOLECULES","SPT",NA,"SD","M",NA,82,6,"9",67,15,"9",21,63,NA,NA
9788,"Bagheri 2021","Hum Exp Toxicol","SPT",NA,"Wistar","M",NA,75,15.3,"9",42,10.5,"9",21,42,NA,NA
9883,"Macedo 2015","NEUROPEPTIDES","SPT","restrained daily on Mon-Fri each week for 12 weeks","Wistar","M",NA,NA,NA,NA,NA,NA,NA,60,60,20,20
9900,"Wang 2016","Brain Res Bull","SPT",NA,"Wistar","M",NA,81,8,"10",65,8,"10",21,126,23,23
1016,"Li 2022","CNS NEUROSCIENCE & THERAPEUTICS","SPT",NA,"SD","M","6-8",76,11.31,"8",50,15.27,"8",28,168,24,24
1030,"Valipour 2024","AMINO ACIDS","EPM",NA,"Wistar","M","8-10",NA,NA,NA,NA,NA,NA,14,28,NA,NA
1106,"Safarzadeh 2024","EXPERIMENTAL GERONTOLOGY","EPM",NA,"Wistar","M",NA,62,5.29,"7",52,5.29,"7",10,20,NA,NA
1129,"Liang 2015","Neuroscience","EPM",NA,"SD","M",NA,88,31.11,"8",45,19.8,"8",21,126,NA,NA
1407,"Sen 2021","NEUROSCIENCE LETTERS","EPM",NA,"SD","M","not given",16,96.17,"8",18,48.08,"8",14,14,NA,NA
1497,"Judd 2025","LEARNING & MEMORY","EPM",NA,"SD","M",NA,122,35.78,"5",105,34.79,"10",21,126,NA,NA
1502,"Lefter 2018","NEUROPHYSIOLOGY","EPM",NA,"Wistar",NA,NA,12,4.47,"5",6,2.24,"5",7,42,NA,NA
1565,"Ghalandari-Shamami 2019","NEUROCHEMICAL RESEARCH","EPM",NA,"Wistar","M","4",50,10.58,"7",16,5.29,"7",10,20,NA,NA
1764,"Zhong 2019","Front Psychiatry","EPM",NA,"SD","M","8",56,24,"9",20,15,"9",21,84,NA,NA
1767,"Lee 2019","Translational Psychiatry","EPM",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,84,NA,NA
1983,"Lehner 2017","BEHAVIOURAL BRAIN RESEARCH","EPM","restrained daily on Mon-Fri each week ","Wistar","M",NA,55,9.49,"10",29,12,"9",15,45,NA,NA
2075,"Zhu 2022","Front Pharmacol","EPM",NA,"SD","M","8",38,13.86,"12",24,13.86,"12",21,63,NA,NA
2165,"Zhu 2020","CHINESE JOURNAL OF NATURAL MEDICINES","EPM",NA,"SD","M","9",21,3,"12",11,2,"12",21,126,NA,NA
2167,"Odendaal-Gambrell 2025","Physiol Rep","EPM",NA,"Wistar","M","7",12,13,"8",28,36,"8",28,28,NA,NA
2167,"Odendaal-Gambrell 2025","Physiol Rep","EPM",NA,"Wistar","F","7",29,28,"8",27,20,"8",28,28,NA,NA
2926,"Di 2017","Psychopharmacology (Berl)","EPM",NA,"Wistar","F","16",39,15.65,"5",18,8.94,"5",21,126,NA,NA
2949,"Lin 2019","FRONTIERS IN CELLULAR NEUROSCIENCE","EPM",NA,"SD","M",NA,40,2,"8",39,2,"8",1,8,NA,NA
2949,"Lin 2019","FRONTIERS IN CELLULAR NEUROSCIENCE","EPM",NA,"SD","M",NA,40,2,"8",33,2,"8",3,24,NA,NA
2949,"Lin 2019","FRONTIERS IN CELLULAR NEUROSCIENCE","EPM",NA,"SD","M",NA,40,2,"8",26,1.5,"8",7,56,NA,NA
2949,"Lin 2019","FRONTIERS IN CELLULAR NEUROSCIENCE","EPM",NA,"SD","M",NA,40,2,"8",21,2,"8",14,112,NA,NA
3209,"Subamalani 2018","International Journal of Pharmaceutical Sciences and Research","EPM",NA,"Wistar","M",NA,103,26.94,"6",57,7.35,"6",21,126,NA,NA
3263,"Pechlivanova 2023","REVISTA BRASILEIRA DE FARMACOGNOSIA-BRAZILIAN JOURNAL OF PHARMACOGNOSY","EPM",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
3459,"Bahramzadeh 2019","Neurobiol Learn Mem","EPM",NA,"Wistar","M",NA,81,38.11,"12",80,39.8,"11",10,60,NA,NA
3733,"Sarfi 2025","PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR","EPM",NA,"Wistar","M",NA,107,67.88,"8",28,0,"8",21,126,NA,NA
3772,"Singh 2023","Nanotheranostics","EPM",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,7,42,NA,NA
3822,"Bigdeli 2019","NEUROPHYSIOLOGY","EPM",NA,"Wistar","M",NA,24,6.32,"10",12,9.49,"10",21,126,NA,NA
3856,"Trofimiuk 2015","BEHAVIOURAL BRAIN RESEARCH","EPM",NA,"Wistar-Crl:WI(Han)","M","6",8,8.49,"8",12,16.97,"8",21,42,NA,NA
3926,"Yan 2023","NEUROPHARMACOLOGY","EPM",NA,"SD","M","6-8",18,19.6,"6",4,12.25,"6",21,84,NA,NA
3926,"Yan 2023","NEUROPHARMACOLOGY","EPM",NA,"SD","F","6-8",NA,NA,NA,NA,NA,NA,21,84,NA,NA
3972,"Jung 2020","Neuroscience","EPM",NA,"Wistar-Kyoto","M","10-12",NA,NA,NA,NA,NA,NA,14,28,NA,NA
3972,"Jung 2020","Neuroscience","EPM",NA,"F334","M","10-12",NA,NA,NA,NA,NA,NA,14,28,NA,NA
4027,"Kim 2025","Laryngoscope","EPM",NA,"SD","M","7",85,34,"4",45,12,"4",10,20,NA,NA
4070,"Liu 2018","Transl Psychiatry","EPM",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
4265,"Zhu 2020","BEHAVIOURAL BRAIN RESEARCH","EPM",NA,"SD","M",NA,95,17,"12",67,12,"12",21,126,NA,NA
4485,"de 2023","NEUROCHEMICAL RESEARCH","EPM","restrained daily on Mon-Fri each week ","Wistar","M",NA,NA,NA,NA,NA,NA,NA,15,15,NA,NA
4548,"Meftahi 2023","JOURNAL OF CHEMICAL NEUROANATOMY","EPM",NA,"Wistar","M",NA,11,1.41,"8",3,1.98,"8",14,56,NA,NA
4560,"Joshi 2015","PHYSIOLOGY & BEHAVIOR","EPM",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,15,15,NA,NA
4735,"Siddiqui 2025","BASIC AND CLINICAL NEUROSCIENCE","EPM",NA,"SD","M","8-12",NA,NA,NA,NA,NA,NA,10,60,NA,NA
4735,"Siddiqui 2025","BASIC AND CLINICAL NEUROSCIENCE","EPM",NA,"SD","F","8-12",NA,NA,NA,NA,NA,NA,10,60,NA,NA
4794,"Liu 2022","J Affect Disord","EPM",NA,"SD","M",NA,21,22.14,"10",21,31.62,"10",21,126,NA,NA
4832,"van 2016","Metab Brain Dis","EPM","Subjected to maternal separation","SD","M",NA,27,24.25,"12",33,31.18,"12",5,20,NA,NA
4833,"Zhvania 2022","NEUROSCIENCE LETTERS","EPM",NA,"Wistar","M",NA,85,63.25,"10",10,12.65,"10",20,80,NA,NA
4887,"Pansarim 2023","Behav Processes","EPM",NA,"Wistar","M",NA,24,18.97,"10",14,9.49,"10",11,66,NA,NA
4887,"Pansarim 2023","Behav Processes","EPM",NA,"Wistar","F",NA,31,12.65,"10",31,22.14,"10",11,66,NA,NA
4887,"Pansarim 2023","Behav Processes","EPM",NA,"Wistar","M",NA,29,22.14,"10",36,6.32,"10",22,132,NA,NA
4887,"Pansarim 2023","Behav Processes","EPM",NA,"Wistar","F",NA,35,9.49,"10",24,12.65,"10",22,132,NA,NA
4961,"Tang 2024","Drug Des Devel Ther","EPM",NA,"SD","M",NA,27,5.5,"6",20,2.7,"6",28,84,NA,NA
4973,"Hennessy 2022","Neuroimage: Reports","EPM",NA,"SD","M",NA,3.7,4,"16",9.6,8.94,"20",13,32,NA,NA
5014,"Elfakharany 2024","Mol Neurobiol","EPM",NA,"Wistar","M","8-10",NA,NA,NA,NA,NA,NA,21,126,NA,NA
5278,"Guedri 2017","Toxicology and Environmental Health Sciences","EPM",NA,"Wistar","M","not given",80,94.87,"10",21,44.27,"10",14,42,NA,NA
5304,"Rojas-Carvajal 2017","REVISTA MEXICANA DE NEUROCIENCIA","EPM","restraint stress applied ""every other day""","SD","M",NA,NA,NA,NA,NA,NA,NA,16,16,NA,NA
5533,"Terzioglu-Usak 2018","Int J Endocrinol Metab","EPM",NA,"Wistar","M",NA,8,5.29,"7",7,10.58,"7",7,21,NA,NA
5533,"Terzioglu-Usak 2018","Int J Endocrinol Metab","EPM",NA,"Wistar","M",NA,7,5.29,"7",7,5.29,"7",28,84,NA,NA
5610,"Mostardeiro 2025","Brain Sciences","EPM",NA,"Wistar","M",NA,30,14.14,"8",5,2.83,"8",14,112,NA,NA
5687,"Zhou 2022","FRONTIERS IN AGING NEUROSCIENCE","EPM",NA,"SD","F","12",NA,NA,NA,NA,NA,NA,21,157,NA,NA
5729,"Yi 2024","Behav Brain Res","EPM",NA,"SD","M",NA,37,5.88,"6",11,1.96,"6",28,168,NA,NA
5740,"Jahromi 2024","ACTA NEUROBIOLOGIAE EXPERIMENTALIS","EPM",NA,"Wistar","M","8",41,19.8,"8",21,8.49,"8",14,28,NA,NA
5759,"Moreno-Martinez 2022","BEHAVIOURAL BRAIN RESEARCH","EPM",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,14,4,NA,NA
5946,"Chen 2022","Journal of Integrative Medicine","EPM",NA,"""Spontaneously Hypertensive Rat""","M","11",NA,NA,NA,NA,NA,NA,28,28,NA,NA
6148,"Novaes 2018","PSYCHONEUROENDOCRINOLOGY","EPM",NA,"Wistar","M","8.5",19,12.65,"10",0.3,0.63,"10",10,20,NA,NA
6180,"Tan 2021","Figshare","EPM",NA,"SD","M","not given",31,4.11,"10",3,1.26,"10",14,84,NA,NA
6517,"Garman 2024","European Journal of Pharmacology","EPM",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,42,NA,NA
6584,"Chakraborty 2020","NEUROPSYCHOPHARMACOLOGY","EPM",NA,"Wistar","M","7-8",48,15,"25",24,21.91,"30",1,2,NA,NA
6666,"Bhagya 2017","JOURNAL OF NEUROSCIENCE RESEARCH","EPM",NA,"Wistar","M","6-8",NA,NA,NA,NA,NA,NA,21,126,NA,NA
6728,"Zhao 2022","Front Neurol","EPM",NA,"SD","M",NA,26,17,"8",6,7,"8",21,63,NA,NA
6826,"Tan 2021","Front Neurosci","EPM",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,84,NA,NA
6987,"Peng 2021","Neurochem Int","EPM",NA,"SD","M","12",69,51.43,"5",7,4.9,"6",21,136,NA,NA
7023,"Liu 2016","Behav Brain Res","EPM",NA,"SD","M",NA,33,33.94,"8",26,45.25,"8",21,126,NA,NA
7075,"de 2019","Neurotoxicity Research","EPM",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
7291,"Cairns 2024","Am J Physiol Heart Circ Physiol","EPM",NA,"Wistar","M","10",2.4,3.8,"9",28.1,24,"8",28,28,NA,NA
7291,"Cairns 2024","Am J Physiol Heart Circ Physiol","EPM",NA,"Wistar","F","10",37.6,25.2,"9",39,29.6,"9",28,28,NA,NA
7338,"Pentkowski 2022","Behav Brain Res","EPM",NA,"TgF344-AD (wild type)","M","24",126,74.83,"14",61,34.86,"15",14,14,NA,NA
7339,"Vorvul 2022","NEUROPEPTIDES","EPM",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,14,28,NA,NA
7440,"Li 2023","Behav Brain Res","EPM",NA,"SD","M","7-8",40,31,"11",15,21,"10",35,140,NA,NA
7660,"Yu 2024","BEHAVIOURAL BRAIN RESEARCH","EPM","""Male Sprague-Dawley rats (8–12 weeks old, 250–300 g) and male Long-Evans rats (350–400 g) .... All rats were randomly assigned to one of the following four models""","Unclear","Unclear","Unclear",NA,NA,NA,NA,NA,NA,21,126,NA,NA
8266,"Hadipour 2023","3 Biotech","EPM",NA,"Wistar","M",NA,43,8.49,"8",20,14.14,"8",14,28,NA,NA
8548,"Kuan 2024","JOURNAL OF PHYSIOLOGICAL INVESTIGATION","EPM",NA,"Long-Evans","M",NA,6,9.35,"12",10,9.01,"12",14,28,NA,NA
8631,"Rodrigues 2022","Eur J Neurosci","EPM",NA,"Wistar Han","M","8",132,34.79,"10",100,34.79,"10",15,60,NA,NA
8709,"Ercetin 2023","INDIAN JOURNAL OF EXPERIMENTAL BIOLOGY","EPM",NA,"SD","F","8-12",NA,NA,NA,NA,NA,NA,56,56,NA,NA
8743,"Seewoo 2020","eNeuro","EPM",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,13,32,NA,NA
8977,"Lei 2020","FRONTIERS IN NEUROSCIENCE","EPM","Pregnant females restrained from GD12-18","SD","F (pregnant)","not given",NA,NA,NA,NA,NA,NA,7,15,NA,NA
9120,"Bortolasci 2023","Bipolar Disorders","EPM",NA,"Flinders Sensitive Line","M","6",NA,NA,NA,NA,NA,NA,10,5,NA,NA
9536,"Dong 2017","Cell Physiol Biochem","EPM",NA,"SD","M","6-8",11,6,"20",3,1,"20",21,126,NA,NA
9542,"Saeidi 2025","NEUROCHEMICAL RESEARCH","EPM",NA,"Wistar","M","8-10",58,7.94,"7",24,5.29,"7",15,90,NA,NA
9542,"Saeidi 2025","NEUROCHEMICAL RESEARCH","EPM",NA,"Wistar","M","8-10",58,5.29,"7",13,7.94,"7",30,180,NA,NA
9663,"Ampuero 2015","INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY","EPM","""restraint""","SD","M",NA,27,9.95,"11",15,13.27,"11",10,20,NA,NA
9663,"Ampuero 2015","INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY","EPM","""immobilisation""","SD","M",NA,27,9.95,"11",14,13.27,"11",10,20,NA,NA
9688,"Radahmadi 2025","ADVANCED BIOMEDICAL RESEARCH","EPM",NA,"Wistar","M",NA,27,5.29,"7",11,2.65,"7",14,84,NA,NA
9788,"Bagheri 2021","Hum Exp Toxicol","EPM",NA,"Wistar","M",NA,32,3.97,"7",11,3.44,"7",21,42,NA,NA
9808,"Paudel 2022","PLoS One","EPM",NA,"SD","M","6",NA,NA,NA,NA,NA,NA,30,120,NA,NA
9892,"Geng 2021","Oxid Med Cell Longev","EPM",NA,"Wistar","M","6-8",40,9.49,"10",24,7.94,"7",21,126,NA,NA
9937,"Khankani 2024","BRAIN RESEARCH","EPM",NA,"Wistar","M",NA,10,1.41,"8",3,1.13,"8",14,56,NA,NA
1030,"Valipour 2024","AMINO ACIDS","OFT",NA,"Wistar","M","8-10",57,28.28,"8",19,28.28,"8",14,28,NA,NA
1129,"Liang 2015","Neuroscience","OFT",NA,"SD","M",NA,21,8.49,"8",9,1.98,"8",21,126,NA,NA
1287,"Alkanat 2024","EUROPEAN JOURNAL OF NEUROSCIENCE","OFT",NA,"SD","M","not given",NA,NA,NA,NA,NA,NA,21,105,NA,NA
1407,"Sen 2021","NEUROSCIENCE LETTERS","OFT",NA,"SD","M","not given",12,22.63,"8",24,50.91,"8",14,14,NA,NA
1420,"Zhang 2017","Molecular Medicine Reports","OFT",NA,"Wistar","M","8",NA,NA,NA,NA,NA,NA,21,126,NA,NA
1422,"Feng 2022","Andrologia","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1502,"Lefter 2018","NEUROPHYSIOLOGY","OFT",NA,"Wistar",NA,NA,NA,NA,NA,NA,NA,NA,7,42,NA,NA
1764,"Zhong 2019","Front Psychiatry","OFT",NA,"SD","M","8",NA,NA,NA,NA,NA,NA,21,84,NA,NA
1767,"Lee 2019","Translational Psychiatry","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,84,NA,NA
1983,"Lehner 2017","BEHAVIOURAL BRAIN RESEARCH","OFT","restrained daily on Mon-Fri each week ","Wistar","M",NA,NA,NA,NA,NA,NA,NA,15,45,NA,NA
2075,"Zhu 2022","Front Pharmacol","OFT",NA,"SD","M","8",NA,NA,NA,NA,NA,NA,21,63,NA,NA
2165,"Zhu 2020","CHINESE JOURNAL OF NATURAL MEDICINES","OFT",NA,"SD","M","9",NA,NA,NA,NA,NA,NA,21,126,NA,NA
2172,"Guo 2015","Neural Regen Res","OFT",NA,"SD","M","5",NA,NA,NA,NA,NA,NA,28,168,NA,NA
2300,"Aboul-Fotouh 2018","Behav Pharmacol","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,28,168,NA,NA
2504,"Zhang 2022","Food Chem Toxicol","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
2506,"Shin 2019","Eur J Neurosci","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,84,NA,NA
2627,"Li 2020","Behav Brain Res","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,168,NA,NA
2744,"Arab 2023","Pharmaceuticals (Basel)","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
2795,"Zhang 2022","NEUROSCIENCE","OFT",NA,"Wistar-Kyoto","M",NA,NA,NA,NA,NA,NA,NA,28,168,NA,NA
2949,"Lin 2019","FRONTIERS IN CELLULAR NEUROSCIENCE","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA
2949,"Lin 2019","FRONTIERS IN CELLULAR NEUROSCIENCE","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,3,24,NA,NA
2949,"Lin 2019","FRONTIERS IN CELLULAR NEUROSCIENCE","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,5,40,NA,NA
2949,"Lin 2019","FRONTIERS IN CELLULAR NEUROSCIENCE","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,7,56,NA,NA
2949,"Lin 2019","FRONTIERS IN CELLULAR NEUROSCIENCE","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,9,72,NA,NA
2949,"Lin 2019","FRONTIERS IN CELLULAR NEUROSCIENCE","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,11,88,NA,NA
2949,"Lin 2019","FRONTIERS IN CELLULAR NEUROSCIENCE","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,112,NA,NA
3077,"Abuelezz 2018","Behav Pharmacol","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,28,168,NA,NA
3158,"Arakawa 2020","PHYSIOLOGY & BEHAVIOR","OFT",NA,"Wistar","M","5",225,41.11,"10",73,31.62,"10",NA,NA,NA,NA
3158,"Arakawa 2020","PHYSIOLOGY & BEHAVIOR","OFT",NA,"Wistar","M","5",133,34.79,"10",117,22.14,"10",NA,NA,NA,NA
3158,"Novaes 2020","PHYSIOLOGY & BEHAVIOR","OFT",NA,"Wistar","M","5",189,18.97,"10",89,28.46,"10",NA,NA,NA,NA
3158,"Arakawa 2020","PHYSIOLOGY & BEHAVIOR","OFT",NA,"Wistar","M","5",153,41.11,"10",130,69.57,"10",NA,NA,NA,NA
3158,"Arakawa 2020","PHYSIOLOGY & BEHAVIOR","OFT",NA,"Wistar","M","5",177,69.57,"10",165,79.06,"10",NA,NA,NA,NA
3158,"Arakawa 2020","PHYSIOLOGY & BEHAVIOR","OFT",NA,"Wistar","M","5",277,63.25,"10",112,56.92,"10",NA,NA,NA,NA
3209,"Subamalani 2018","International Journal of Pharmaceutical Sciences and Research","OFT",NA,"Wistar","M",NA,68,24.6,"5",39,15.65,"5",21,126,NA,NA
3260,"Faraji 2020","BEHAVIOURAL BRAIN RESEARCH","OFT",NA,"Long-Evans","M","11-13",NA,NA,NA,NA,NA,NA,10,30,NA,NA
3263,"Pechlivanova 2023","REVISTA BRASILEIRA DE FARMACOGNOSIA-BRAZILIAN JOURNAL OF PHARMACOGNOSY","OFT","CRS was 1 h/day for 14 days, then escalated to 6 h/day for an additional 14 days. No explanation of why.","Wistar","M",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
3459,"Bahramzadeh 2019","Neurobiol Learn Mem","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,10,60,NA,NA
3482,"Wang 2024","BRAIN RESEARCH","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,14,28,NA,NA
3569,"Zamani 2024","Journal of Advances in Medical and Biomedical Research","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,14,84,NA,NA
3670,"Zhou 2021","JOURNAL OF ETHNOPHARMACOLOGY","OFT",NA,"Wistar","M","8",NA,NA,NA,NA,NA,NA,28,168,NA,NA
3734,"Yi 2016","NEURAL REGENERATION RESEARCH","OFT","The FST used was a ""modification of the traditional method"", where ""swimming endurance capacity was assessed by forcing the rats to swim until exhaustion, which was defined as the point at which the rat's nose remained below the water surface for 10 seconds"".","SD","M",NA,NA,NA,NA,NA,NA,NA,21,63,NA,NA
3926,"Yan 2023","NEUROPHARMACOLOGY","OFT",NA,"SD","M","6-8",9,7.35,"6",6,4.9,"6",21,84,NA,NA
3926,"Yan 2023","NEUROPHARMACOLOGY","OFT",NA,"SD","F","6-8",NA,NA,NA,NA,NA,NA,21,84,NA,NA
4070,"Liu 2018","Transl Psychiatry","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
4261,"Ranjbar 2017","CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA
4261,"Ranjbar 2017","CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,7,42,NA,NA
4261,"Ranjbar 2017","CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
4265,"Zhu 2020","BEHAVIOURAL BRAIN RESEARCH","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
4451,"Yang 2017","Evidence-based Complementary and Alternative Medicine","OFT",NA,"SD","M","5",NA,NA,NA,NA,NA,NA,28,168,NA,NA
4485,"de 2023","NEUROCHEMICAL RESEARCH","OFT","restrained daily on Mon-Fri each week ","Wistar","M",NA,NA,NA,NA,NA,NA,NA,15,15,NA,NA
4630,"Li 2017","Biomed Res Int","OFT",NA,"Wistar","M",NA,18,1.9,"12",30,2.2,"12",14,42,NA,NA
4630,"Li 2017","Biomed Res Int","OFT",NA,"Wistar","M",NA,19,1.7,"12",34,2.1,"12",28,84,NA,NA
4669,"Shen 2020","Neurosci Lett","OFT",NA,"SD","F","52",NA,NA,NA,NA,NA,NA,42,252,NA,NA
4735,"Siddiqui 2025","BASIC AND CLINICAL NEUROSCIENCE","OFT",NA,"SD","M","8-12",NA,NA,NA,NA,NA,NA,10,60,NA,NA
4735,"Siddiqui 2025","BASIC AND CLINICAL NEUROSCIENCE","OFT",NA,"SD","F","8-12",NA,NA,NA,NA,NA,NA,10,60,NA,NA
4745,"Cheng 2017","BMC Complement Altern Med","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,63,378,NA,NA
4794,"Liu 2022","J Affect Disord","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
4832,"van 2016","Metab Brain Dis","OFT","Subjected to maternal separation","SD","M",NA,NA,NA,NA,NA,NA,NA,5,20,NA,NA
4833,"Zhvania 2022","NEUROSCIENCE LETTERS","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,20,80,NA,NA
4961,"Tang 2024","Drug Des Devel Ther","OFT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,28,84,NA,NA
5014,"Elfakharany 2024","Mol Neurobiol","OFT",NA,"Wistar","M","8-10",NA,NA,NA,NA,NA,NA,21,126,NA,NA
5068,"Zhu 2023","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","OFT",NA,"Wistar","M","6-7",NA,NA,NA,NA,NA,NA,21,126,NA,NA
5108,"Pourheydar 2022","BEHAVIORAL NEUROSCIENCE","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,21,52,NA,NA
5109,"Du 2023","Neuroreport","OFT",NA,"SD","M","5-6",NA,NA,NA,NA,NA,NA,28,168,NA,NA
5233,"Song 2020","FRONTIERS IN PHYSIOLOGY","OFT",NA,"Wistar","M",NA,15,5.88,"6",9,3.67,"6",21,126,NA,NA
5240,"Khedr 2018","Naunyn Schmiedebergs Arch Pharmacol","OFT",NA,"Wistar","M",NA,8.8,2.2,"10",23.9,11.2,"11",42,168,NA,NA
5278,"Guedri 2017","Toxicology and Environmental Health Sciences","OFT",NA,"Wistar","M","not given",NA,NA,NA,NA,NA,NA,14,42,NA,NA
5291,"Liu 2019","Physiol Behav","OFT",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,28,84,NA,NA
