"ID","PubID","Outcome","sex","strain","effect_size","CI_LB","CI_UB","total_time_h","water_depriv_h"
9542,"Saeidi 2025","EPM","M","Wistar",-6.243,-8.782,-3.704,180,NA
9663,"Ampuero 2015","EPM","M","SD",-0.984,-1.869,-0.099,20,NA
9663,"Ampuero 2015","EPM","M","SD",-1.066,-1.959,-0.173,20,NA
9688,"Radahmadi 2025","EPM","M","Wistar",-3.579,-5.269,-1.89,84,NA
9788,"Bagheri 2021","EPM","M","Wistar",-5.291,-7.514,-3.069,42,NA
9892,"Geng 2021","EPM","M","Wistar",-1.706,-2.829,-0.582,126,NA
9937,"Khankani 2024","EPM","M","Wistar",-5.179,-7.223,-3.134,56,NA
1030,"Valipour 2024","OFT","M","Wistar",-1.27,-2.344,-0.196,28,NA
1129,"Liang S. 2015","OFT","M","SD",-1.84,-3.009,-0.671,126,NA
1407,"Sen 2021","OFT","M","SD",0.288,-0.697,1.273,14,NA
3209,"Subamalani S. 2018","OFT","M","Wistar",-1.27,-2.629,0.089,126,NA
3926,"Yan 2023","OFT","M","SD",-0.443,-1.589,0.702,84,NA
4630,"Li 2017","OFT","M","Wistar",5.636,3.852,7.42,42,NA
4630,"Li 2017","OFT","M","Wistar",7.58,5.291,9.869,84,NA
5233,"Song 2020","OFT","M","Wistar",-1.13,-2.348,0.089,126,NA
5240,"Khedr 2018","OFT","M","Wistar",1.754,0.746,2.761,168,NA
5365,"Magdy 2017","OFT","M","Wistar",1.5,0.594,2.405,168,NA
5638,"Wang 2024","OFT","M","SD",-0.769,-1.635,0.097,42,NA
5638,"Wang 2024","OFT","M","SD",-1.419,-2.353,-0.484,84,NA
5638,"Wang 2024","OFT","M","SD",-1.92,-2.93,-0.91,126,NA
5729,"Yi 2024","OFT","M","SD",-4.259,-6.304,-2.213,168,NA
5748,"Sakhri 2021","OFT","M","Wistar",-3.633,-5.651,-1.615,126,NA
5759,"Moreno-Martinez 2022","OFT","M","Wistar",-1.203,-2.072,-0.333,4,NA
5966,"Zhang 2022","OFT","M","Wistar",-10.004,-13.4,-6.608,126,NA
6180,"Tan 2021","OFT","M","SD",-1.088,-1.752,-0.424,84,NA
6184,"Olave 2022","OFT","M","Wistar",-0.29,-1.219,0.639,35,NA
6826,"Tan 2021","OFT","M","SD",-0.899,-1.55,-0.249,84,NA
6987,"Peng 2021","OFT","M","SD",-1.419,-2.746,-0.092,136,NA
7286,"Adachi 2021","OFT","M","Wistar",-6.863,-10.116,-3.61,126,NA
9223,"Hadipour 2023","OFT","M","Wistar",-1.528,-2.642,-0.414,28,NA
9542,"Saeidi 2025","OFT","M","Wistar",-2.799,-4.273,-1.325,90,NA
9542,"Saeidi 2025","OFT","M","Wistar",-3.279,-4.883,-1.675,180,NA
9643,"Pan 2019","OFT","M","SD",1.867,0.76,2.974,63,NA
